="Wave W3: Heterogeneity in Impact on Business Aspirations by Outcome Level at Baseline"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   "
="                                                  ",="Aggregate Short-Term Aspirations   ",="Short-Term Sales Aspirations   ",="Short-Term Sales Aspirations (win 1 %)   ",="Short-Term Shop Size Aspirations   ",="Short-Term Employee Aspirations    ",="Short-Term Customer Aspirations    ",="Aggregate Long-Term Aspirations   ",="Aggregate Long-Term Aspirations   ",="Long-Term Shop Size Aspirations   ",="Long-Term Shop Size Aspirations   ",="Long-Term Employee Aspirations    ",="Long-Term Employee Aspirations    ",="Long-Term Customer Aspirations    ",="Long-Term Customer Aspirations    "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.006   ",="          -5.697   ",="         -20.596   ",="           2.613   ",="           0.232   ",="          10.508   ",="           0.078   ",="           0.027   ",="          -0.586   ",="          -0.573   ",="           0.317   ",="          -0.309   ",="          25.916   ",="          28.360   "
="                                                  ",="         (0.070)   ",="        (76.506)   ",="        (48.818)   ",="         (3.482)   ",="         (0.297)   ",="        (11.119)   ",="         (0.103)   ",="         (0.115)   ",="         (4.497)   ",="         (5.320)   ",="         (0.540)   ",="         (0.554)   ",="        (19.833)   ",="        (21.604)   "
="Assigned Handbook & Movie                         ",="           0.041   ",="          65.810   ",="          63.577   ",="           2.302   ",="           0.168   ",="           9.027   ",="          -0.053   ",="          -0.064   ",="          -2.396   ",="          -2.958   ",="          -0.224   ",="          -0.339   ",="          20.121   ",="          23.651   "
="                                                  ",="         (0.077)   ",="        (75.881)   ",="        (59.874)   ",="         (2.627)   ",="         (0.234)   ",="        (11.289)   ",="         (0.097)   ",="         (0.118)   ",="         (3.720)   ",="         (4.159)   ",="         (0.458)   ",="         (0.542)   ",="        (16.243)   ",="        (19.413)   "
="Assigned Handbook & Counseling                    ",="           0.041   ",="         -70.085   ",="         -41.298   ",="           2.828   ",="           0.130   ",="          20.134*  ",="           0.004   ",="          -0.047   ",="           4.088   ",="           1.812   ",="          -0.251   ",="          -0.772   ",="          21.308   ",="          13.279   "
="                                                  ",="         (0.072)   ",="        (64.732)   ",="        (56.046)   ",="         (1.930)   ",="         (0.250)   ",="        (10.925)   ",="         (0.096)   ",="         (0.119)   ",="         (4.009)   ",="         (4.472)   ",="         (0.415)   ",="         (0.515)   ",="        (15.048)   ",="        (17.564)   "
="Assigned All Three                                ",="           0.065   ",="          30.709   ",="          24.426   ",="           1.570   ",="          -0.225   ",="          15.027   ",="          -0.037   ",="          -0.074   ",="          -0.659   ",="          -0.441   ",="          -0.338   ",="          -0.494   ",="          16.694   ",="          19.350   "
="                                                  ",="         (0.071)   ",="        (80.372)   ",="        (54.844)   ",="         (1.928)   ",="         (0.225)   ",="         (9.707)   ",="         (0.100)   ",="         (0.118)   ",="         (3.575)   ",="         (4.447)   ",="         (0.438)   ",="         (0.521)   ",="        (12.961)   ",="        (14.820)   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="          -0.042   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.086)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="           0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.093)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="          -0.007   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.091)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="          -0.115   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.080)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="         -60.247   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="        (87.025)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="                   ",="         -72.562   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="        (89.484)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="                   ",="          46.161   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="        (74.535)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="                   ",="         -90.302   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="        (90.719)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="                   ",="         -52.688   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="        (46.899)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="                   ",="                   ",="         -76.283   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="        (60.300)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="                   ",="                   ",="          16.801   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="        (56.815)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="                   ",="                   ",="         -78.690   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="        (52.062)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="                   ",="                   ",="          -3.940   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (3.463)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="                   ",="                   ",="                   ",="          -3.242   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (2.768)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="                   ",="                   ",="                   ",="          -2.038   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (2.389)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="                   ",="                   ",="                   ",="          -3.545*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (1.926)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="                   ",="                   ",="                   ",="          -0.351   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.306)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="                   ",="                   ",="                   ",="                   ",="          -0.022   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.266)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="                   ",="                   ",="                   ",="                   ",="          -0.081   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.272)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="                   ",="                   ",="                   ",="                   ",="           0.232   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.244)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="                   ",="                   ",="                   ",="                   ",="         -12.065   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
