="IV (2SLS) estimation of treatment effects on profits"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 5 %)   ",="Total Profits Last Month (USD PPP) at W4 (IHS Transformation)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Received Book                                     ",="          -6.323   ",="          -9.552   ",="          15.875   ",="           0.156   "
="                                                  ",="       (203.565)   ",="       (169.696)   ",="       (123.748)   ",="         (0.617)   "
="Received Book & Movie                             ",="         218.492   ",="         215.413   ",="         224.092   ",="          -0.688   "
="                                                  ",="       (399.230)   ",="       (337.370)   ",="       (243.941)   ",="         (1.112)   "
="Received Book & Counsel (Both Session)            ",="         493.304*  ",="         481.820** ",="         424.895** ",="           0.843   "
="                                                  ",="       (270.899)   ",="       (232.964)   ",="       (170.610)   ",="         (0.736)   "
="Received All Three (Both Sessions)                ",="         735.906*  ",="         624.571*  ",="         456.266*  ",="           0.774   "
="                                                  ",="       (428.114)   ",="       (366.741)   ",="       (254.736)   ",="         (1.166)   "
="R-squared                                         ",="           0.077   ",="           0.078   ",="           0.082   ",="           0.074   "
="N                                                 ",="            1003   ",="            1003   ",="            1003   ",="            1003   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
