="Heterogeneity in treatment effects on mainPract by BMprof at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   "
="                                                  ",="Aggregate Record Keeping Practices (Core) at W3   ",="Aggregate Marketing Practices (Core) at W3   ",="Aggregate Discussion Practices at W3   ",="Aggregate Stock up Practices at W3   ",="Aggregate Planning Practices at W3   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.006   ",="           0.005   ",="          -0.005   ",="           0.025   ",="           0.057   "
="                                                  ",="         (0.018)   ",="         (0.025)   ",="         (0.035)   ",="         (0.026)   ",="         (0.041)   "
="Assigned Handbook & Movie                         ",="           0.028   ",="           0.052*  ",="           0.037   ",="           0.044   ",="           0.079** "
="                                                  ",="         (0.022)   ",="         (0.028)   ",="         (0.035)   ",="         (0.028)   ",="         (0.039)   "
="Assigned Handbook & Counseling                    ",="           0.012   ",="           0.037   ",="           0.063*  ",="          -0.003   ",="           0.037   "
="                                                  ",="         (0.021)   ",="         (0.027)   ",="         (0.037)   ",="         (0.029)   ",="         (0.042)   "
="Assigned All Three                                ",="           0.025   ",="           0.053*  ",="           0.068*  ",="           0.081***",="           0.090** "
="                                                  ",="         (0.021)   ",="         (0.029)   ",="         (0.038)   ",="         (0.027)   ",="         (0.038)   "
="B_BMprof                                          ",="           0.002   ",="          -0.016   ",="          -0.029   ",="          -0.036   ",="          -0.053   "
="                                                  ",="         (0.024)   ",="         (0.030)   ",="         (0.043)   ",="         (0.032)   ",="         (0.047)   "
="BM_BMprof                                         ",="          -0.030   ",="          -0.017   ",="           0.012   ",="           0.002   ",="           0.004   "
="                                                  ",="         (0.024)   ",="         (0.032)   ",="         (0.042)   ",="         (0.032)   ",="         (0.045)   "
="BC_BMprof                                         ",="          -0.010   ",="          -0.015   ",="           0.031   ",="           0.051   ",="          -0.027   "
="                                                  ",="         (0.023)   ",="         (0.028)   ",="         (0.040)   ",="         (0.032)   ",="         (0.045)   "
="BMC_BMprof                                        ",="          -0.009   ",="          -0.021   ",="          -0.013   ",="          -0.048   ",="          -0.028   "
="                                                  ",="         (0.024)   ",="         (0.032)   ",="         (0.045)   ",="         (0.031)   ",="         (0.045)   "
="R-squared                                         ",="           0.172   ",="           0.254   ",="           0.186   ",="           0.208   ",="           0.191   "
="N                                                 ",="            1167   ",="            1167   ",="            1167   ",="            1167   ",="            1167   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
