="IV (2SLS) estimation of treatment effects on mainPract"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   "
="                                                  ",="Aggregate Record Keeping Practices (Core) at W3   ",="Aggregate Marketing Practices (Core) at W3   ",="Aggregate Discussion Practices at W3   ",="Aggregate Stock up Practices at W3   ",="Aggregate Planning Practices at W3   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Received Handbook                                 ",="           0.007   ",="          -0.002   ",="          -0.019   ",="           0.009   ",="           0.042   "
="                                                  ",="         (0.017)   ",="         (0.022)   ",="         (0.032)   ",="         (0.023)   ",="         (0.034)   "
="Received Handbook & Movie                         ",="           0.020   ",="           0.076** ",="           0.073   ",="           0.085** ",="           0.149***"
="                                                  ",="         (0.029)   ",="         (0.039)   ",="         (0.053)   ",="         (0.040)   ",="         (0.056)   "
="Received Handbook & Counseling                    ",="           0.008   ",="           0.030   ",="           0.095***",="           0.029   ",="           0.034   "
="                                                  ",="         (0.020)   ",="         (0.025)   ",="         (0.036)   ",="         (0.027)   ",="         (0.038)   "
="Received All Three                                ",="           0.039   ",="           0.085** ",="           0.122** ",="           0.110** ",="           0.164***"
="                                                  ",="         (0.032)   ",="         (0.043)   ",="         (0.061)   ",="         (0.044)   ",="         (0.062)   "
="R-squared                                         ",="           0.175   ",="           0.257   ",="           0.183   ",="           0.199   ",="           0.196   "
="N                                                 ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1181   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
