="mainscores Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   "
="                                                  ",="Aggregate Marketing Practices (Core) at W4   ",="Aggregate Record Keeping Practices (Core) at W4   ",="Aggregate Discussion Practices at W4   ",="Aggregate Stock up Practices at W4   ",="Aggregate Planning Practices at W4   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -0.005   ",="           0.010   ",="          -0.003   ",="          -0.019   ",="           0.034   "
="                                                  ",="         (0.022)   ",="         (0.016)   ",="         (0.031)   ",="         (0.023)   ",="         (0.033)   "
="Assigned Handbook & Movie                         ",="           0.008   ",="           0.010   ",="           0.007   ",="           0.026   ",="           0.036   "
="                                                  ",="         (0.023)   ",="         (0.016)   ",="         (0.029)   ",="         (0.024)   ",="         (0.033)   "
="Assigned Handbook & Counseling                    ",="           0.039*  ",="           0.019   ",="           0.008   ",="           0.019   ",="           0.066** "
="                                                  ",="         (0.023)   ",="         (0.016)   ",="         (0.028)   ",="         (0.023)   ",="         (0.031)   "
="Assigned All Three                                ",="           0.041*  ",="           0.013   ",="           0.017   ",="           0.065***",="           0.069** "
="                                                  ",="         (0.024)   ",="         (0.016)   ",="         (0.029)   ",="         (0.024)   ",="         (0.033)   "
="R-squared                                         ",="           0.256   ",="           0.174   ",="           0.247   ",="           0.229   ",="           0.241   "
="N                                                 ",="            1024   ",="            1024   ",="            1024   ",="            1024   ",="            1023   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
