="aspfail Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   "
="                                                  ",="Imagination failure (yes/no)   ",="Planning failure (yes/no)   "
="                                                  ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.073** ",="          -0.002   "
="                                                  ",="         (0.034)   ",="         (0.035)   "
="Assigned Handbook & Movie                         ",="           0.013   ",="          -0.082** "
="                                                  ",="         (0.033)   ",="         (0.033)   "
="Assigned Handbook & Counseling                    ",="           0.033   ",="          -0.040   "
="                                                  ",="         (0.034)   ",="         (0.035)   "
="Assigned All Three                                ",="           0.020   ",="          -0.034   "
="                                                  ",="         (0.034)   ",="         (0.035)   "
="R-squared                                         ",="           0.108   ",="           0.115   "
="N                                                 ",="            1181   ",="            1181   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
